municipality,okres,kraj,population,smart_people_zmean,smart_people_n_indicators
Močenok,Šaľa,Nitriansky,4323,-0.623,23
Modra,Pezinok,Bratislavský,9273,0.4909,23
Moldava nad Bodvou,Košice - okolie,Košický,10266,-0.1265,23
Most pri Bratislave,Senec,Bratislavský,4228,0.2015,23
Mútne,Námestovo,Žilinský,3164,-0.1921,23
Myjava,Myjava,Trenčiansky,10705,-0.2088,23
Nálepkovo,Gelnica,Košický,3763,-0.4509,23
Námestovo,Námestovo,Žilinský,7539,0.0656,23
Neded,Šaľa,Nitriansky,3177,-0.5761,23
Nemšová,Trenčín,Trenčiansky,6292,-0.1958,23
Nesluša,Kysucké Nové Mesto,Žilinský,3219,-0.6917,23
Nesvady,Komárno,Nitriansky,5037,-0.386,23
Nitra,Nitra,Nitriansky,76951,0.0441,23
Nitrianske Pravno,Prievidza,Trenčiansky,3121,-0.0126,23
Nižná,Tvrdošín,Žilinský,3935,-0.0465,23
Nová Baňa,Žarnovica,Banskobystrický,6904,0.0158,23
Nová Dedinka,Senec,Bratislavský,3434,0.0439,23
Nová Dubnica,Ilava,Trenčiansky,10470,-0.5812,23
Nová Ľubovňa,Stará Ľubovňa,Prešovský,3015,0.0548,23
Nováky,Prievidza,Trenčiansky,4145,-0.0128,23
Nové Mesto nad Váhom,Nové Mesto nad Váhom,Trenčiansky,19355,-0.4551,23
Nové Zámky,Nové Zámky,Nitriansky,36781,-0.353,23
Novoť,Námestovo,Žilinský,3767,-0.0414,23
Okoč,Dunajská Streda,Trnavský,3678,-0.065,23
Oravská Lesná,Námestovo,Žilinský,3420,-0.0776,23
Oravská Polhora,Námestovo,Žilinský,3991,-0.3362,23
Oravské Veselé,Námestovo,Žilinský,3060,0.0178,23
Oščadnica,Čadca,Žilinský,5747,-0.4391,23
Palárikovo,Nové Zámky,Nitriansky,4243,-0.5971,23
Partizánske,Partizánske,Trenčiansky,20871,-0.4758,23
Pata,Galanta,Trnavský,3253,-0.337,23
Pavlovce nad Uhom,Michalovce,Košický,4643,-0.6398,23
Pezinok,Pezinok,Bratislavský,24617,-0.0235,23
Piešťany,Piešťany,Trnavský,27057,-0.1855,23
Podbrezová,Brezno,Banskobystrický,3531,-0.29,23
