cluster,AEI,motives_count,m_entertain,m_school,m_trend,m_curiosity,N,pct
0,40.953,2.917,0.625,0.542,0.0,1.0,24,31.17
1,57.048,1.36,0.32,0.12,0.08,0.04,25,32.47
2,37.736,2.941,0.765,0.882,0.529,0.0,17,22.08
3,63.022,4.909,0.818,0.545,1.0,1.0,11,14.29
