,DAE,DAE,DAE,SDR,SDR,SDR,CSA,CSA,CSA,YSCR,YSCR,YSCR
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
grade_int,,,,,,,,,,,,
1.0,37.651,14.626,101,46.715,26.407,97,66.679,14.686,106,54.866,11.849,106
2.0,37.957,15.557,86,47.933,25.421,93,67.414,17.648,95,55.676,13.058,95
3.0,39.72,12.828,98,44.516,21.937,99,68.943,12.433,101,55.77,9.799,101
4.0,39.227,11.811,57,42.516,27.045,65,69.149,12.07,66,55.172,12.51,66
